"Info.1","Determination.start","Ammonium Concentration","Ammonium DL","Ammonium STD","Calcium Concentration","Calcium DL","Calcium STD","Lithium Concentration","Lithium DL","Lithium STD","Magnesium Concentration","Magnesium DL","Magnesium STD","Potassium Concentration","Potassium DL","Potassium STD","Sodium Concentration","Sodium DL","Sodium STD"
"1","2025-08-04 18:50:49 UTC-6",NA,0.000442104776193808,5e-04,5.926,1.02822580409513e-15,0.0679999999999998,NA,0.00159882545726873,NA,1.88,0.00276914727124409,0.0225,1.826,0.00706886557641286,0.0135,4.593,0.00347603820907869,0.0205
"2","2025-08-04 19:12:14 UTC-6",NA,0.000442104776193808,5e-04,5.615,1.02822580409513e-15,0.0679999999999998,0.002,0.00159882545726873,NA,1.631,0.00276914727124409,0.0225,2.665,0.00706886557641286,0.0135,3.621,0.00347603820907869,0.0205
"2B","2025-08-04 19:33:39 UTC-6",NA,0.000442104776193808,5e-04,5.529,1.02822580409513e-15,0.0679999999999998,0.002,0.00159882545726873,NA,1.58,0.00276914727124409,0.0225,3.121,0.00706886557641286,0.0135,3.64,0.00347603820907869,0.0205
"3","2025-08-04 19:55:04 UTC-6",0.013,0.000442104776193808,5e-04,8.866,1.02822580409513e-15,0.0679999999999998,0.001,0.00159882545726873,NA,2.873,0.00276914727124409,0.0225,1.838,0.00706886557641286,0.0135,3.712,0.00347603820907869,0.0205
"5","2025-08-04 20:16:30 UTC-6",NA,0.000442104776193808,5e-04,6.979,1.02822580409513e-15,0.0679999999999998,0.002,0.00159882545726873,NA,2.339,0.00276914727124409,0.0225,2.103,0.00706886557641286,0.0135,4.24,0.00347603820907869,0.0205
"6","2025-08-04 20:37:56 UTC-6",NA,0.000442104776193808,5e-04,5.61,1.02822580409513e-15,0.0679999999999998,NA,0.00159882545726873,NA,1.794,0.00276914727124409,0.0225,1.425,0.00706886557641286,0.0135,3.351,0.00347603820907869,0.0205
"7","2025-08-04 20:59:22 UTC-6",0.028,0.000442104776193808,5e-04,6.989,1.02822580409513e-15,0.0679999999999998,0.001,0.00159882545726873,NA,2.185,0.00276914727124409,0.0225,2.211,0.00706886557641286,0.0135,5.372,0.00347603820907869,0.0205
"8","2025-08-04 21:20:49 UTC-6",NA,0.000442104776193808,5e-04,7.182,1.02822580409513e-15,0.0679999999999998,NA,0.00159882545726873,NA,2.351,0.00276914727124409,0.0225,0.793,0.00706886557641286,0.0135,2.715,0.00347603820907869,0.0205
"9","2025-08-04 21:42:15 UTC-6",0.014,0.000442104776193808,5e-04,7.492,1.02822580409513e-15,0.0679999999999998,NA,0.00159882545726873,NA,2.371,0.00276914727124409,0.0225,1.8,0.00706886557641286,0.0135,4.397,0.00347603820907869,0.0205
"9","2025-08-04 22:03:43 UTC-6",0.014,0.000442104776193808,5e-04,7.442,1.02822580409513e-15,0.0679999999999998,NA,0.00159882545726873,NA,2.375,0.00276914727124409,0.0225,1.788,0.00706886557641286,0.0135,4.397,0.00347603820907869,0.0205
