"Info.1","Determination.start","Bromide Concentration","Bromide DL","Bromide STD","Chloride Concentration","Chloride DL","Chloride STD","Fluoride Concentration","Fluoride DL","Fluoride STD","Nitrate Concentration","Nitrate DL","Nitrate STD","Nitrite Concentration","Nitrite DL","Nitrite STD","Phosphate Concentration","Phosphate DL","Phosphate STD","Sulfate Concentration","Sulfate DL","Sulfate STD"
"SummerHome1","2025-10-02 17:08:06 UTC-6",NA,0.0136215669722369,NA,0.995,0.00410663842832955,0.177500000000012,0.321,0.00341781350768843,0,0.127,0.0018550550073119,0.00400000000000011,NA,0.00194922846822036,NA,0.024,0.00562651491389959,0.004,1.312,0.00785076382794899,0.00349999999999995
"SummerHome2","2025-10-02 17:29:26 UTC-6",NA,0.0136215669722369,NA,6.806,0.00410663842832955,0.177500000000012,0.318,0.00341781350768843,0,0.287,0.0018550550073119,0.00400000000000011,NA,0.00194922846822036,NA,0.022,0.00562651491389959,0.004,1.325,0.00785076382794899,0.00349999999999995
"SummerHome3","2025-10-02 17:50:47 UTC-6",NA,0.0136215669722369,NA,14.156,0.00410663842832955,0.177500000000012,0.319,0.00341781350768843,0,0.466,0.0018550550073119,0.00400000000000011,NA,0.00194922846822036,NA,0.023,0.00562651491389959,0.004,1.34,0.00785076382794899,0.00349999999999995
"SummerHome4","2025-10-02 18:12:07 UTC-6",NA,0.0136215669722369,NA,26.637,0.00410663842832955,0.177500000000012,0.327,0.00341781350768843,0,0.746,0.0018550550073119,0.00400000000000011,NA,0.00194922846822036,NA,0.025,0.00562651491389959,0.004,1.397,0.00785076382794899,0.00349999999999995
"SummerHome5","2025-10-02 18:33:28 UTC-6",NA,0.0136215669722369,NA,54.743,0.00410663842832955,0.177500000000012,0.319,0.00341781350768843,0,1.319,0.0018550550073119,0.00400000000000011,NA,0.00194922846822036,NA,0.024,0.00562651491389959,0.004,1.447,0.00785076382794899,0.00349999999999995
"SummerHome6","2025-10-02 18:54:49 UTC-6",NA,0.0136215669722369,NA,83.754,0.00410663842832955,0.177500000000012,0.318,0.00341781350768843,0,1.893,0.0018550550073119,0.00400000000000011,NA,0.00194922846822036,NA,0.022,0.00562651491389959,0.004,1.485,0.00785076382794899,0.00349999999999995
"SummerHome7","2025-10-02 19:16:10 UTC-6",NA,0.0136215669722369,NA,116.593,0.00410663842832955,0.177500000000012,0.32,0.00341781350768843,0,2.537,0.0018550550073119,0.00400000000000011,NA,0.00194922846822036,NA,0.022,0.00562651491389959,0.004,1.55,0.00785076382794899,0.00349999999999995
"SummerHome8","2025-10-02 19:37:32 UTC-6",NA,0.0136215669722369,NA,148.045,0.00410663842832955,0.177500000000012,0.316,0.00341781350768843,0,3.166,0.0018550550073119,0.00400000000000011,NA,0.00194922846822036,NA,0.02,0.00562651491389959,0.004,1.581,0.00785076382794899,0.00349999999999995
"SummerHome9","2025-10-02 19:58:54 UTC-6",NA,0.0136215669722369,NA,175.188,0.00410663842832955,0.177500000000012,0.322,0.00341781350768843,0,3.714,0.0018550550073119,0.00400000000000011,NA,0.00194922846822036,NA,0.023,0.00562651491389959,0.004,1.633,0.00785076382794899,0.00349999999999995
"SummerHome10","2025-10-02 20:20:17 UTC-6",NA,0.0136215669722369,NA,190.421,0.00410663842832955,0.177500000000012,0.318,0.00341781350768843,0,4.024,0.0018550550073119,0.00400000000000011,NA,0.00194922846822036,NA,0.022,0.00562651491389959,0.004,1.651,0.00785076382794899,0.00349999999999995
